game_id,date,home_team,away_team,home_score,away_score,sport,league,competition_type,neutral_site
m162,2023-05-30,France,Nigeria,0,0,soccer,international,friendly,0
m163,2023-05-31,Croatia,USA,1,3,soccer,international,league,0
m164,2023-06-01,Croatia,Mexico,1,3,soccer,international,tournament,1
m165,2023-06-02,Croatia,South Korea,2,1,soccer,international,qualifier,0
m166,2023-06-03,Croatia,Argentina,1,2,soccer,international,qualifier,0
m167,2023-06-04,Croatia,Iran,2,0,soccer,international,friendly,0
m168,2023-06-05,Croatia,Brazil,1,3,soccer,international,league,0
m169,2023-06-06,Croatia,Japan,4,2,soccer,international,tournament,1
m170,2023-06-07,Croatia,Nigeria,3,1,soccer,international,qualifier,0
m171,2023-06-07,USA,Mexico,1,0,soccer,international,qualifier,0
m172,2023-06-08,USA,South Korea,2,3,soccer,international,friendly,0
m173,2023-06-09,USA,Argentina,1,1,soccer,international,league,0
m174,2023-06-10,USA,Iran,3,2,soccer,international,tournament,1
m175,2023-06-11,USA,Brazil,2,1,soccer,international,qualifier,0
m176,2023-06-12,USA,Japan,4,0,soccer,international,qualifier,0
m177,2023-06-13,USA,Nigeria,2,1,soccer,international,friendly,0
m178,2023-06-14,Mexico,South Korea,4,2,soccer,international,league,0
m179,2023-06-15,Mexico,Argentina,2,3,soccer,international,tournament,1
m180,2023-06-16,Mexico,Iran,1,4,soccer,international,qualifier,0
m181,2023-06-16,Mexico,Brazil,1,1,soccer,international,qualifier,0
m182,2023-06-17,Mexico,Japan,1,0,soccer,international,friendly,0
m183,2023-06-18,Mexico,Nigeria,0,1,soccer,international,league,0
m184,2023-06-19,South Korea,Argentina,2,2,soccer,international,tournament,1
m185,2023-06-20,South Korea,Iran,3,0,soccer,international,qualifier,0
m186,2023-06-21,South Korea,Brazil,2,0,soccer,international,qualifier,0
m187,2023-06-22,South Korea,Japan,1,4,soccer,international,friendly,0
m188,2023-06-23,South Korea,Nigeria,2,0,soccer,international,league,0
m189,2023-06-24,Argentina,Iran,1,0,soccer,international,tournament,1
m190,2023-06-25,Argentina,Brazil,3,5,soccer,international,qualifier,0
m191,2023-06-25,Argentina,Japan,3,2,soccer,international,qualifier,0
m192,2023-06-26,Argentina,Nigeria,4,4,soccer,international,friendly,0
m193,2023-06-27,Iran,Brazil,3,1,soccer,international,league,0
m194,2023-06-28,Iran,Japan,1,2,soccer,international,tournament,1
m195,2023-06-29,Iran,Nigeria,1,0,soccer,international,qualifier,0
m196,2023-06-30,Brazil,Japan,2,5,soccer,international,qualifier,0
m197,2023-07-01,Brazil,Nigeria,4,0,soccer,international,friendly,0
m198,2023-07-02,Japan,Nigeria,1,0,soccer,international,league,0
m199,2023-07-03,Croatia,Nigeria,4,3,soccer,international,tournament,1
m200,2023-07-04,Croatia,Spain,0,3,soccer,international,qualifier,0
m201,2023-07-04,Croatia,USA,7,3,soccer,international,qualifier,0
m202,2023-07-05,Croatia,Brazil,3,4,soccer,international,friendly,0
m203,2023-07-06,Croatia,France,1,1,soccer,international,league,0
m204,2023-07-07,Croatia,South Korea,4,0,soccer,international,tournament,1
m205,2023-07-08,Croatia,Japan,2,3,soccer,international,qualifier,0
m206,2023-07-09,Croatia,Mexico,1,1,soccer,international,qualifier,0
m207,2023-07-10,Croatia,Tunisia,2,2,soccer,international,friendly,0
m208,2023-07-11,Croatia,Argentina,1,0,soccer,international,league,0
m209,2023-07-12,Croatia,Iran,2,0,soccer,international,tournament,1
m210,2023-07-13,Nigeria,Spain,2,1,soccer,international,qualifier,0
m211,2023-07-13,Nigeria,USA,0,1,soccer,international,qualifier,0
m212,2023-07-14,Nigeria,Brazil,2,2,soccer,international,friendly,0
m213,2023-07-15,Nigeria,France,1,2,soccer,international,league,0
m214,2023-07-16,Nigeria,South Korea,2,0,soccer,international,tournament,1
m215,2023-07-17,Nigeria,Japan,2,2,soccer,international,qualifier,0
m216,2023-07-18,Nigeria,Mexico,2,4,soccer,international,qualifier,0
m217,2023-07-19,Nigeria,Tunisia,4,3,soccer,international,friendly,0
m218,2023-07-20,Nigeria,Argentina,0,3,soccer,international,league,0
m219,2023-07-21,Nigeria,Iran,1,1,soccer,international,tournament,1
m220,2023-07-22,Spain,USA,1,2,soccer,international,qualifier,0
m221,2023-07-22,Spain,Brazil,1,2,soccer,international,qualifier,0
m222,2023-07-23,Spain,France,2,3,soccer,international,friendly,0
m223,2023-07-24,Spain,South Korea,3,0,soccer,international,league,0
m224,2023-07-25,Spain,Japan,1,1,soccer,international,tournament,1
m225,2023-07-26,Spain,Mexico,1,2,soccer,international,qualifier,0
m226,2023-07-27,Spain,Tunisia,3,1,soccer,international,qualifier,0
m227,2023-07-28,Spain,Argentina,2,3,soccer,international,friendly,0
m228,2023-07-29,Spain,Iran,2,2,soccer,international,league,0
m229,2023-07-30,USA,Brazil,1,3,soccer,international,tournament,1
m230,2023-07-31,USA,France,1,2,soccer,international,qualifier,0
m231,2023-07-31,USA,South Korea,1,2,soccer,international,qualifier,0
m232,2023-08-01,USA,Japan,5,0,soccer,international,friendly,0
m233,2023-08-02,USA,Mexico,0,0,soccer,international,league,0
m234,2023-08-03,USA,Tunisia,2,2,soccer,international,tournament,1
m235,2023-08-04,USA,Argentina,0,1,soccer,international,qualifier,0
m236,2023-08-05,USA,Iran,1,3,soccer,international,qualifier,0
m237,2023-08-06,Brazil,France,7,5,soccer,international,friendly,0
m238,2023-08-07,Brazil,South Korea,3,2,soccer,international,league,0
m239,2023-08-08,Brazil,Japan,1,5,soccer,international,tournament,1
m240,2023-08-09,Brazil,Mexico,2,0,soccer,international,qualifier,0
m241,2023-08-09,Brazil,Tunisia,0,1,soccer,international,qualifier,0
m242,2023-08-10,Brazil,Argentina,7,1,soccer,international,friendly,0
m243,2023-08-11,Brazil,Iran,1,1,soccer,international,league,0
m244,2023-08-12,France,South Korea,3,2,soccer,international,tournament,1
m245,2023-08-13,France,Japan,5,3,soccer,international,qualifier,0
m246,2023-08-14,France,Mexico,3,0,soccer,international,qualifier,0
m247,2023-08-15,France,Tunisia,0,1,soccer,international,friendly,0
m248,2023-08-16,France,Argentina,2,3,soccer,international,league,0
m249,2023-08-17,France,Iran,1,1,soccer,international,tournament,1
m250,2023-08-18,South Korea,Japan,2,1,soccer,international,qualifier,0
m251,2023-08-18,South Korea,Mexico,2,4,soccer,international,qualifier,0
m252,2023-08-19,South Korea,Tunisia,3,0,soccer,international,friendly,0
m253,2023-08-20,South Korea,Argentina,1,4,soccer,international,league,0
m254,2023-08-21,South Korea,Iran,0,0,soccer,international,tournament,1
m255,2023-08-22,Japan,Mexico,1,0,soccer,international,qualifier,0
m256,2023-08-23,Japan,Tunisia,2,2,soccer,international,qualifier,0
m257,2023-08-24,Japan,Argentina,0,1,soccer,international,friendly,0
m258,2023-08-25,Japan,Iran,2,3,soccer,international,league,0
m259,2023-08-26,Mexico,Tunisia,0,1,soccer,international,tournament,1
m260,2023-08-27,Mexico,Argentina,2,2,soccer,international,qualifier,0
m261,2023-08-27,Mexico,Iran,1,2,soccer,international,qualifier,0
m262,2023-08-28,Tunisia,Argentina,1,7,soccer,international,friendly,0
m263,2023-08-29,Tunisia,Iran,3,3,soccer,international,league,0
m264,2023-08-30,Argentina,Iran,3,2,soccer,international,tournament,1
m265,2023-08-31,Nigeria,France,1,4,soccer,international,qualifier,0
m266,2023-09-01,Nigeria,South Korea,2,0,soccer,international,qualifier,0
m267,2023-09-02,Nigeria,Brazil,0,1,soccer,international,friendly,0
m268,2023-09-03,Nigeria,Mexico,5,0,soccer,international,league,0
m269,2023-09-04,Nigeria,Japan,2,1,soccer,international,tournament,1
m270,2023-09-05,Nigeria,Tunisia,1,3,soccer,international,qualifier,0
m271,2023-09-05,Nigeria,Croatia,0,3,soccer,international,qualifier,0
m272,2023-09-06,Nigeria,USA,2,5,soccer,international,friendly,0
m273,2023-09-07,Nigeria,Spain,2,3,soccer,international,league,0
m274,2023-09-08,Nigeria,Argentina,2,3,soccer,international,tournament,1
m275,2023-09-09,Nigeria,Iran,1,2,soccer,international,qualifier,0
m276,2023-09-10,France,South Korea,2,2,soccer,international,qualifier,0
m277,2023-09-11,France,Brazil,1,6,soccer,international,friendly,0
m278,2023-09-12,France,Mexico,5,0,soccer,international,league,0
m279,2023-09-13,France,Japan,3,0,soccer,international,tournament,1
m280,2023-09-14,France,Tunisia,1,0,soccer,international,qualifier,0
m281,2023-09-14,France,Croatia,2,3,soccer,international,qualifier,0
m282,2023-09-15,France,USA,2,2,soccer,international,friendly,0
m283,2023-09-16,France,Spain,4,3,soccer,international,league,0
m284,2023-09-17,France,Argentina,6,3,soccer,international,tournament,1
m285,2023-09-18,France,Iran,2,2,soccer,international,qualifier,0
m286,2023-09-19,South Korea,Brazil,1,4,soccer,international,qualifier,0
m287,2023-09-20,South Korea,Mexico,1,0,soccer,international,friendly,0
m288,2023-09-21,South Korea,Japan,0,2,soccer,international,league,0
m289,2023-09-22,South Korea,Tunisia,1,2,soccer,international,tournament,1
m290,2023-09-23,South Korea,Croatia,1,0,soccer,international,qualifier,0
m291,2023-09-23,South Korea,USA,1,1,soccer,international,qualifier,0
m292,2023-09-24,South Korea,Spain,0,1,soccer,international,friendly,0
m293,2023-09-25,South Korea,Argentina,1,1,soccer,international,league,0
m294,2023-09-26,South Korea,Iran,0,2,soccer,international,tournament,1
m295,2023-09-27,Brazil,Mexico,5,3,soccer,international,qualifier,0
m296,2023-09-28,Brazil,Japan,1,1,soccer,international,qualifier,0
m297,2023-09-29,Brazil,Tunisia,3,3,soccer,international,friendly,0
m298,2023-09-30,Brazil,Croatia,4,3,soccer,international,league,0
m299,2023-10-01,Brazil,USA,2,1,soccer,international,tournament,1
m300,2023-10-02,Brazil,Spain,2,6,soccer,international,qualifier,0
m301,2023-10-02,Brazil,Argentina,2,4,soccer,international,qualifier,0
m302,2023-10-03,Brazil,Iran,4,2,soccer,international,friendly,0
m303,2023-10-04,Mexico,Japan,4,2,soccer,international,league,0
m304,2023-10-05,Mexico,Tunisia,5,2,soccer,international,tournament,1
m305,2023-10-06,Mexico,Croatia,0,2,soccer,international,qualifier,0
m306,2023-10-07,Mexico,USA,4,2,soccer,international,qualifier,0
m307,2023-10-08,Mexico,Spain,1,4,soccer,international,friendly,0
m308,2023-10-09,Mexico,Argentina,1,2,soccer,international,league,0
m309,2023-10-10,Mexico,Iran,0,0,soccer,international,tournament,1
m310,2023-10-11,Japan,Tunisia,6,3,soccer,international,qualifier,0
m311,2023-10-11,Japan,Croatia,3,1,soccer,international,qualifier,0
m312,2023-10-12,Japan,USA,2,3,soccer,international,friendly,0
m313,2023-10-13,Japan,Spain,2,1,soccer,international,league,0
m314,2023-10-14,Japan,Argentina,6,2,soccer,international,tournament,1
m315,2023-10-15,Japan,Iran,2,1,soccer,international,qualifier,0
m316,2023-10-16,Tunisia,Croatia,1,0,soccer,international,qualifier,0
m317,2023-10-17,Tunisia,USA,0,1,soccer,international,friendly,0
m318,2023-10-18,Tunisia,Spain,2,2,soccer,international,league,0
m319,2023-10-19,Tunisia,Argentina,1,1,soccer,international,tournament,1
m320,2023-10-20,Tunisia,Iran,1,0,soccer,international,qualifier,0
m321,2023-10-20,Croatia,USA,3,0,soccer,international,qualifier,0
m322,2023-10-21,Croatia,Spain,2,1,soccer,international,friendly,0
m323,2023-10-22,Croatia,Argentina,1,3,soccer,international,league,0
m324,2023-10-23,Croatia,Iran,1,1,soccer,international,tournament,1
m325,2023-10-24,USA,Spain,1,1,soccer,international,qualifier,0
m326,2023-10-25,USA,Argentina,3,1,soccer,international,qualifier,0
m327,2023-10-26,USA,Iran,2,0,soccer,international,friendly,0
m328,2023-10-27,Spain,Argentina,4,0,soccer,international,league,0
m329,2023-10-28,Spain,Iran,1,1,soccer,international,tournament,1
m330,2023-10-29,Argentina,Iran,2,3,soccer,international,qualifier,0
m331,2023-10-29,Tunisia,Nigeria,2,2,soccer,international,qualifier,0
m332,2023-10-30,Tunisia,Japan,1,1,soccer,international,friendly,0
m333,2023-10-31,Tunisia,Brazil,1,4,soccer,international,league,0
m334,2023-11-01,Tunisia,Argentina,2,8,soccer,international,tournament,1
m335,2023-11-02,Tunisia,Croatia,1,0,soccer,international,qualifier,0
m336,2023-11-03,Tunisia,Spain,3,3,soccer,international,qualifier,0
m337,2023-11-04,Tunisia,South Korea,3,4,soccer,international,friendly,0
m338,2023-11-05,Tunisia,Iran,2,2,soccer,international,league,0
m339,2023-11-06,Tunisia,USA,0,0,soccer,international,tournament,1
m340,2023-11-07,Tunisia,Mexico,1,2,soccer,international,qualifier,0
m341,2023-11-07,Tunisia,France,0,3,soccer,international,qualifier,0
m342,2023-11-08,Nigeria,Japan,1,1,soccer,international,friendly,0
m343,2023-11-09,Nigeria,Brazil,1,2,soccer,international,league,0
m344,2023-11-10,Nigeria,Argentina,1,1,soccer,international,tournament,1
m345,2023-11-11,Nigeria,Croatia,2,0,soccer,international,qualifier,0
m346,2023-11-12,Nigeria,Spain,2,1,soccer,international,qualifier,0
m347,2023-11-13,Nigeria,South Korea,1,3,soccer,international,friendly,0
m348,2023-11-14,Nigeria,Iran,1,4,soccer,international,league,0
m349,2023-11-15,Nigeria,USA,2,0,soccer,international,tournament,1
m350,2023-11-16,Nigeria,Mexico,2,3,soccer,international,qualifier,0
m351,2023-11-16,Nigeria,France,2,4,soccer,international,qualifier,0
m352,2023-11-17,Japan,Brazil,0,6,soccer,international,friendly,0
m353,2023-11-18,Japan,Argentina,3,1,soccer,international,league,0
m354,2023-11-19,Japan,Croatia,0,3,soccer,international,tournament,1
m355,2023-11-20,Japan,Spain,3,3,soccer,international,qualifier,0
m356,2023-11-21,Japan,South Korea,4,3,soccer,international,qualifier,0
m357,2023-11-22,Japan,Iran,0,0,soccer,international,friendly,0
m358,2023-11-23,Japan,USA,0,1,soccer,international,league,0
m359,2023-11-24,Japan,Mexico,3,4,soccer,international,tournament,1
m360,2023-11-25,Japan,France,4,0,soccer,international,qualifier,0
m361,2023-11-25,Brazil,Argentina,3,2,soccer,international,qualifier,0
m362,2023-11-26,Brazil,Croatia,2,4,soccer,international,friendly,0
m363,2023-11-27,Brazil,Spain,2,3,soccer,international,league,0
m364,2023-11-28,Brazil,South Korea,3,0,soccer,international,tournament,1
m365,2023-11-29,Brazil,Iran,3,4,soccer,international,qualifier,0
m366,2023-11-30,Brazil,USA,2,2,soccer,international,qualifier,0
m367,2023-12-01,Brazil,Mexico,3,3,soccer,international,friendly,0
m368,2023-12-02,Brazil,France,3,3,soccer,international,league,0
m369,2023-12-03,Argentina,Croatia,4,1,soccer,international,tournament,1
m370,2023-12-04,Argentina,Spain,3,3,soccer,international,qualifier,0
m371,2023-12-04,Argentina,South Korea,5,0,soccer,international,qualifier,0
m372,2023-12-05,Argentina,Iran,2,3,soccer,international,friendly,0
m373,2023-12-06,Argentina,USA,1,2,soccer,international,league,0
m374,2023-12-07,Argentina,Mexico,1,1,soccer,international,tournament,1
m375,2023-12-08,Argentina,France,1,4,soccer,international,qualifier,0
m376,2023-12-09,Croatia,Spain,1,0,soccer,international,qualifier,0
m377,2023-12-10,Croatia,South Korea,2,2,soccer,international,friendly,0
m378,2023-12-11,Croatia,Iran,2,0,soccer,international,league,0
m379,2023-12-12,Croatia,USA,3,1,soccer,international,tournament,1
m380,2023-12-13,Croatia,Mexico,1,3,soccer,international,qualifier,0
m381,2023-12-13,Croatia,France,0,5,soccer,international,qualifier,0
m382,2023-12-14,Spain,South Korea,2,0,soccer,international,friendly,0
m383,2023-12-15,Spain,Iran,2,1,soccer,international,league,0
m384,2023-12-16,Spain,USA,0,1,soccer,international,tournament,1
m385,2023-12-17,Spain,Mexico,2,1,soccer,international,qualifier,0
m386,2023-12-18,Spain,France,3,2,soccer,international,qualifier,0
m387,2023-12-19,South Korea,Iran,5,1,soccer,international,friendly,0
m388,2023-12-20,South Korea,USA,1,2,soccer,international,league,0
m389,2023-12-21,South Korea,Mexico,2,5,soccer,international,tournament,1
m390,2023-12-22,South Korea,France,0,2,soccer,international,qualifier,0
m391,2023-12-22,Iran,USA,3,1,soccer,international,qualifier,0
m392,2023-12-23,Iran,Mexico,0,2,soccer,international,friendly,0
m393,2023-12-24,Iran,France,4,3,soccer,international,league,0
m394,2023-12-25,USA,Mexico,2,2,soccer,international,tournament,1
m395,2023-12-26,USA,France,3,0,soccer,international,qualifier,0
m396,2023-12-27,Mexico,France,4,4,soccer,international,qualifier,0
m397,2023-12-28,USA,Nigeria,2,1,soccer,international,friendly,0
